Depth sed [m],Sample label (DSDP/ODP/IODP sample designation),A.midwayensis,Alabamina_spp.,A.wilcoxensis,Allomorphina_spp.,A.velascoensis,Ammodiscus_spp.,A.acuta,A.affinis,A.ammonoides,A.rubiginosus,Anomalinoides_spp.,A.velascoensis,A.truncata,Astacolus_spp.,Bifarina_spp.,B.delicatulus,B.draco,B.paleocenica ,B.kugleri,B.midwayensis,Bulimina_spp.,B.thanetensis,B.trinitatensis,B.velascoensis,B.beaumonti,B.grata,Buliminella_spp.,C.dayi,C.ekblomi,C.hyphalus,C.proprius,Cibicidoides_spp.,C.velascoensis,C.welleri,C.amorpha,C.amorpha ,Clavulinoides_spp.,C.trilatera,C.trilatera_juvenile,C.decurrens,C.incrassata,Coryphostoma_spp.,Coryphostomella_spp.,D.bulletta,Dorothia_spp.,Ellipsodimorphina_spp.,Eouvigerina_spp.,E.subsculptura,Fissurina_spp.,Frondicularia_spp.,F.tegulata,G.laevigata,G.pyramidata,Gaudryina_spp.,Glandulina_spp.,Globorotalites_spp.var.A,Globorotalites_spp.,G.prisca,Globulina_spp.,G.grzybowskii,Guttulina_spp.,G.acutus,G.beisseli,G.depressus,G.girardana,G.globosus,G.soldanii,Gyroidinoides_spp.,Haplophragmoides_spp.,H.lingulata,Lagena_spp.,L.rotulata,Lenticulina_spp.,Lingulina_spp.,M.oxycona,M.oxycona_juvenile,Marssonella_spp.,Neocorbina_spp.,Neoflabellina_spp.,N.havanense,N.cretacea,N.robusta,Nonionella_spp.,Nuttallides_spp.,N.truempyi,N.coronula,N.florealis,Nuttallinella_spp.,Oolina_spp.,O.plummerae,Oridorsalis_spp.,O.umbonatus,O.velascoensis,Osangularia_spp.,Palliolatella_spp.,P.cf.hillebrandti,P.hillebrandti,P.lunata,Paralabamina_spp.,Pleurostomella_spp.,P.aff.subnodosa,Polymorphinella_spp.,P.reussi,Praebulimina_spp.,P.plummerae,P.cretacea,P.jarvisi,P.rudita,Pyramidina_spp.,Pyrulina_spp.,Pyrulinoides_spp.,Q.allomorphinoides,Quadrimorphina_spp.,Quinqueloculina_spp.,Ramulina_spp.,Reophax_spp.,R.szajnochae,Rhizammina_spp.,Scheibnerova_spp.,S.cretacea,Siphogerenoides_spp.,Sitella_spp.,S.varsoviensis,S.dentata,S.spectabilis,Spiroplectammina_spp.,S.beccariiformis,S.excolata,Stilostomella_spp.,S.subspinosa,T.selmensis,Tappanina_spp.,Uvigerina_spp.,V.trilobata,V.lenticula
106.21,"171-1049C-8X-1,10-12",0,0,1,0,0,0,0,0,11,0,13,0,0,0,0,1,0,21,22,0,6,10,3,0,17,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,5,4,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,19,10,0,0,0,3,4,0,0,0,10,0,2,0,0,15,19,0,2,0,0,0,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,1,0,2,0,0,1,3
106.81,"171-1049C-8X-1,70-72",0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,1,0,18,80,0,6,6,0,0,1,0,8,0,13,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,9,0,0,0,16,0,8,0,2,0,0,0,6,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
107.41,"171-1049C-8X-1,130-132",0,0,1,0,0,0,0,0,1,0,2,2,0,1,0,2,0,6,129,0,3,0,2,0,0,0,3,0,14,1,0,3,0,0,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,38,4,2,2,0,0,10,0,0,0,5,1,2,1,0,18,9,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,2,1,5,0,0,0,1
108.21,"171-1049C-8X-2,60-62",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,54,0,0,1,0,0,1,0,2,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,3,0,0,1,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,5,0,0,0,9,0,2,0,16,0,5,0,0,0,0,0,9,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,7,0,3,0,0,0,1
108.73,"171-1049C-8X-2,112-114",0,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,0,9,77,0,17,4,0,0,1,0,10,0,14,7,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,4,0,58,0,0,0,1,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,30,7,0,0,0,0,7,0,0,0,14,0,1,0,0,30,11,0,0,0,0,0,4,0,0,0,1,2,2,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0
109.73,"171-1049C-8X-3,62-64",0,0,1,1,0,1,0,0,4,0,6,0,0,1,0,0,0,7,58,0,1,0,2,0,4,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,24,5,0,0,0,0,3,0,0,0,2,0,0,1,0,8,7,0,0,0,0,0,0,0,0,1,0,2,1,7,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
110.21,"171-1049C-8X-3,110-112",0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,5,59,0,20,6,1,0,0,0,2,0,13,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9,40,2,0,0,0,0,1,0,0,0,5,0,0,0,22,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0
110.61,"171-1049C-8X-4,0-2",0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,5,97,0,10,10,0,0,3,0,0,0,9,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18,3,0,2,0,0,0,4,0,0,0,0,0,2,0,4,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1
111.21,"171-1049C-8X-4,60-62",0,0,0,1,0,1,0,3,7,0,3,0,0,0,0,0,0,7,111,0,8,0,3,0,1,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,2,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,36,1,0,2,0,1,6,0,0,0,4,0,0,0,0,21,5,0,1,0,0,0,4,0,0,1,0,0,0,2,9,2,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,13,0,2,0,0,0,3
111.93,"171-1049C-8X-4,132-134",0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,1,0,0,46,0,2,0,0,0,0,0,3,0,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,44,1,0,0,0,0,2,0,0,0,0,3,0,0,0,12,2,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,7,0,1,0,3,0,0,0,1
112.11,"171-1049C-8X-5,0-2",0,0,1,0,0,1,0,0,5,0,7,0,0,0,0,3,0,8,78,0,11,0,0,0,0,0,5,0,28,3,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,2,8,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,11,23,5,0,5,0,1,30,0,0,0,4,0,0,1,0,27,24,0,3,0,0,1,11,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,8,0,0,0,3
112.31,"171-1049C-8X-5,20-22",0,0,1,0,0,0,0,0,6,0,5,1,0,0,0,0,0,3,66,0,0,0,0,0,0,0,13,0,24,3,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,1,0,49,0,0,0,2,9,0,0,1,0,0,0,4,7,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,28,2,0,4,0,0,12,0,0,0,3,0,0,0,0,15,19,0,4,0,0,0,3,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,18,0,1,0,4
112.49,"171-1049C-8X-5,38-40",0,0,1,0,0,0,0,0,5,1,5,3,0,0,0,5,0,3,74,1,6,1,8,0,7,0,1,0,11,9,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,2,0,42,0,1,2,0,6,0,0,2,0,1,0,2,9,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,9,18,0,0,7,0,6,3,0,0,0,3,3,0,1,0,17,21,0,1,0,0,7,6,0,0,0,3,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,0,7,0,0,0,5
112.59,"171-1049C-8X-5,48-50",0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,1,0,5,79,0,0,5,2,0,4,0,0,0,14,4,0,5,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,50,0,0,0,0,0,3,0,3,0,2,0,3,6,1,0,0,1,1,0,2,0,3,0,0,0,0,0,1,0,13,19,0,0,6,0,11,0,0,0,0,2,2,0,0,0,9,9,0,3,0,0,4,5,0,0,2,1,1,0,2,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,5,0,1,0,0,0,0
112.675,"171-1049C-8X-5,57-58",0,0,8,0,0,0,0,0,4,0,4,2,0,1,0,1,0,4,93,0,0,0,2,0,5,0,8,0,17,3,0,12,0,0,0,1,0,0,0,0,0,6,0,1,0,1,0,0,0,0,68,0,0,0,0,8,0,0,0,0,0,0,1,11,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,9,21,0,0,3,0,1,2,0,0,0,5,1,0,0,0,18,30,1,4,0,0,3,11,0,1,1,1,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6,0,13,0,2,0,1,0,8
112.775,"171-1049C-8X-5,67-68",0,0,6,0,0,0,0,0,5,0,5,5,0,0,0,2,0,3,90,1,3,1,3,0,7,0,1,0,14,3,0,6,1,0,0,0,0,0,0,0,0,6,0,0,1,1,1,0,0,0,60,0,0,0,0,36,0,0,1,0,1,0,0,6,1,0,0,1,0,2,4,0,2,1,0,0,0,0,0,0,3,15,0,0,0,0,8,0,0,0,0,2,3,1,0,0,17,21,1,4,0,0,2,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,9,0,2,1,1,0,2
112.8775,"171-1049C-8X-5,77.5-78",0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,2,0,2,24,0,0,0,0,0,3,0,4,0,2,3,0,6,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,2,0,11,0,3,0,0,125,0,0,3,0,1,0,4,9,3,1,0,0,0,0,5,0,3,0,5,2,0,0,0,0,0,1,0,0,1,0,4,16,1,0,0,7,14,0,0,0,34,12,0,5,0,0,3,6,0,0,0,16,0,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,8,0,5,0,0,0,0,0,3
112.9825,"171-1049C-8X-5,88-88.5",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,1,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,8,0,1,1,0,36,0,0,0,1,0,0,9,5,3,3,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,2,0,1,0,0,5,6,0,0,5,8,3,0,0,0,14,10,4,2,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,2
112.9925,"171-1049C-8X-5,89-89.5",0,2,0,0,0,0,6,0,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,13,0,7,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,6,2,0,0,5,4,3,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,9,0,1,0,0,0,0,1,0
113.0075,"171-1049C-8X-5,90.5-91",0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
113.0275,"171-1049C-8X-5,92.5-93",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
113.0475,"171-1049C-8X-5,94.5-95",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
113.0575,"171-1049C-8X-5,95.5-960",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
113.07,"171-1049C-8X-5,96.5-97.5",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,3,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,3,0,3,0,0,0,0,0,2
113.08,"171-1049C-8X-5,97.5-98.5",0,0,1,0,2,0,0,0,1,0,1,3,0,1,2,5,0,2,0,3,1,1,1,0,18,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,3,1,2,1,1,2,0,0,0,0,11,0,1,2,0,0,4,13,6,0,4,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,8,0,12,7,0,0,2,4,2,0,0,0,3,5,2,1,0,1,11,3,0,0,5,2,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,1,10,0,7,0,3,0,0,0,0,0,0
113.0875,"171-1049C-8X-5,98.5-99",1,0,0,0,3,0,0,0,7,0,0,3,0,0,0,4,0,3,1,7,1,0,0,3,26,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,5,2,0,0,0,1,2,5,1,1,2,0,2,0,0,12,0,0,3,0,1,2,23,1,6,2,0,2,0,1,1,0,3,0,0,3,0,0,0,0,0,1,0,0,13,0,7,11,0,0,0,5,2,0,0,0,11,5,7,2,0,0,18,1,0,0,6,0,0,0,0,1,0,2,0,0,7,0,11,0,0,0,2,0,7,1,12,0,0,1,0,0,0,0,2
113.19,"171-1049C-8X-5,108-110",0,0,0,0,1,0,1,0,4,0,2,0,1,0,0,0,0,6,30,2,0,0,0,0,6,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,4,1,0,0,0,1,2,0,0,19,0,1,0,0,5,0,0,3,0,0,0,3,1,0,1,0,0,0,1,5,0,4,0,1,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,1,2,0,2,0,0,3,3,4,3,0,0,8,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,3,4,0,0,0,0,1
113.235,"171-1049C-8X-5,113-114",0,0,4,0,2,0,3,0,8,0,2,0,0,0,0,2,0,11,43,1,0,8,0,1,31,0,0,0,0,3,3,3,0,0,0,0,0,3,2,1,0,1,2,0,0,1,0,0,0,0,18,0,0,0,0,12,0,0,1,0,0,2,1,10,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,6,0,0,0,5,2,0,0,0,0,6,12,3,0,0,0,24,4,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,2,0,3,0,0,6,0,0,0,0,3
113.48,"171-1049C-8X-5,137-139",0,0,0,0,0,0,0,3,6,0,4,0,1,0,0,0,0,4,16,0,0,11,0,4,34,0,0,0,0,1,7,2,0,0,0,0,0,0,0,2,3,4,1,0,0,2,0,0,1,0,10,0,0,0,0,12,0,0,2,0,1,2,1,12,4,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,11,3,4,0,1,33,3,1,1,3,1,0,4,0,0,18,1,0,0,7,0,8,0,1,0,0,0,2,0,5,0,0,13,0,0,0,0,4
113.59,"171-1049C-8X-5,148-150",0,2,0,0,0,0,0,1,2,0,7,0,0,0,0,1,0,7,23,4,0,5,0,7,21,0,0,0,0,1,7,2,1,0,0,0,0,0,0,0,4,2,3,0,0,2,0,1,0,0,6,0,1,0,0,34,0,0,0,0,1,1,4,8,5,0,0,1,0,0,5,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,6,7,5,1,0,0,31,3,3,0,0,4,0,1,2,0,6,0,0,0,5,0,3,0,0,0,0,0,1,0,11,0,8,3,0,0,0,1,7
