DMNH locality,meter,Age,Age_from_KPg,Chron,NALMA,Taxon,Amniote classification,Element,Lithology,Depositional environment,Concretion
DMNH 3869,95.26,65.447,0.593,29N,Puercan 2,"Axestemys, Crocodilian",Crocodilian,cranial fragments,Sandstone,River channel ,No
DMNH 7077,95.22,65.447,0.593,29N,Puercan 2,Palatobaena,Testudines,skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3942,95.11,65.448,0.592,29N,Puercan 2,Ectoconus?,Mammalia,L max with alveoli for P3/ - M3/ or P4/-M3/ with diastema between P4/ and M/1 and associated ?dentary fragments,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8430,94.69,65.451,0.589,29N,Puercan 2,Testudines,Testudines,shell?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 4066,94.21,65.454,0.586,29N,Puercan 2,Adocus,Testudines,shell,Sandstone,River channel ,No
DMNH 3891,94.17,65.455,0.585,29N,Puercan 2,Hoplochelys,Testudines,costals,"Laminated, fine grained",Pond,Phosphatic
DMNH 7383,94.08,65.455,0.585,29N,Puercan 2,"Carsioptychus, Champsosaurus, Crocodilian, testudines","Mammalia, Diapsid, Crocodilian, Testudines ",various,Sandstone,Overbank/Floodplain,No
DMNH 7092,93.62,65.458,0.582,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6503,93.59,65.459,0.581,29N,Puercan 2,Crocodilian ,Crocodilian,skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7385,93.22,65.461,0.579,29N,Puercan 2,Hoplochelys,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8318,93.16,65.462,0.578,29N,Puercan 2,Plastomenid? ,Testudines,Shell,Sandstone,River channel ,Phosphatic
DMNH 8317,93.1,65.462,0.578,29N,Puercan 2,Axestemys,Testudines,skull and shell fragments,"Laminated, fine grained",Pond,Phosphatic
DMNH 8372,93.07,65.462,0.578,29N,Puercan 2,Vert. indet.,,limb?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3898,92.79,65.464,0.576,29N,Puercan 2,Crocodilian,Crocodilian,limb,,,No
DMNH 6496,92.74,65.465,0.575,29N,Puercan 2,Axestemys,Testudines,"shell, dentary, postcranial elements",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7384,92.59,65.466,0.574,29N,Puercan 2,Mammalia,Mammalia,dentary,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8335,92.59,65.466,0.574,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8321,92.39,65.467,0.573,29N,Puercan 2,Mammalia?,Mammalia,skull?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6498,92.31,65.468,0.572,29N,Puercan 2,Crocodilian,Crocodilian,osteoderm,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7074,91.9,65.47,0.57,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7318,91.87,65.471,0.569,29N,Puercan 2,"Taeniolabis, Compsemys, Baenid ","Mammalia, Testudines","Cranial, shell respectively, not in situ",Sandstone,River channel ,Phosphatic
DMNH 7325,91.76,65.471,0.569,29N,Puercan 2,Carsioptychus ,Mammalia,dentary,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3862,91.49,65.473,0.567,29N,Puercan 2,Crocodilian,Crocodilian,"dentary, vertebrae",Sandstone,River channel ,No
DMNH 7313,91.41,65.474,0.566,29N,Puercan 2,Crocodilian?,Crocodilian,skull?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 2555,91.22,65.475,0.565,29N,Puercan 2,Carsioptychus ,Mammalia,"L dentary p/2, p/4, m/2-m/3",Sandstone,River channel ,No
DMNH 6263,91.08,65.476,0.564,29N,Puercan 2,Testudines,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6494,91.02,65.476,0.564,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7323,90.94,65.477,0.563,29N,Puercan 2,Taeniolabis,Mammalia,"cranial fragment, not in situ",Sandstone,River channel ,Phosphatic
DMNH 7079,90.93,65.477,0.563,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6988,90.59,65.479,0.561,29N,Puercan 2,Baenid ,Testudines,shell fragment,Sandstone,River channel ,No
DMNH 2545,90.57,65.479,0.561,29N,Puercan 2,Vert. indet.,,,,,No
DMNH 7329,90.31,65.481,0.559,29N,Puercan 2,Testudines,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6497,90.22,65.482,0.558,29N,Puercan 2,Crocodilian,Crocodilian,dentarys?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7330,89.83,65.485,0.555,29N,Puercan 2,Taeniolabis,Mammalia,cranial fragment,Sandstone,River channel ,Phosphatic
DMNH 6279,89.8,65.485,0.555,29N,Puercan 2,Axestemys,Testudines,plastron element?,"Laminated, fine grained",Pond,Phosphatic
DMNH 6999,89.76,65.485,0.555,29N,Puercan 2,Testudines,Testudines,shell fragments,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7071,89.66,65.486,0.554,29N,Puercan 2,Crocodilian,Crocodilian,back 1/2 of skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7314,89.55,65.487,0.553,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3870,89.49,65.487,0.553,29N,Puercan 2,Crocodilian,Crocodilian,osteoderms and limbs,Sandstone,River channel ,No
DMNH 6499,89.33,65.488,0.552,29N,Puercan 2,Vert. indet.,,,Sandstone,River channel ,Phosphatic
DMNH 7312,89.26,65.488,0.552,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7315,89.16,65.489,0.551,29N,Puercan 2,Crocodilian?,Crocodilian,cranial?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8327,89.16,65.489,0.551,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6268,89.12,65.489,0.551,29N,Puercan 2,Carsioptychus ,Mammalia,both dentarys,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7062,88.94,65.491,0.549,29N,Puercan 2,various concretions,Mammalia,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7316,88.79,65.492,0.548,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7066,88.55,65.493,0.547,29N,Puercan 2,Carsioptychus ,Mammalia,Posterior cranium with R & L P3/-M3/ (left teeth very abraded),Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8347,88.24,65.496,0.544,29N,Puercan 2,Crocodilian,Crocodilian,postcrania?,Sandstone,River channel ,Phosphatic
DMNH 6998,87.81,65.499,0.541,29N,Puercan 2,Mammalia and Crocodilian ,Mammalia,dentary and articulated vertebrae respectively,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8348,86.79,65.505,0.535,29N,Puercan 2,Vert. indet.,,,"Laminated, fine grained",Pond,Phosphatic
DMNH 6517,86.69,65.506,0.534,29N,Puercan 2,Gilmoremys ,Testudines,skeleton,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6516,86.57,65.507,0.533,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6260,86.12,65.51,0.53,29N,Puercan 2,Axestemys,Testudines,shell fragments,Sandstone,River channel ,No
DMNH 7080,85.82,65.512,0.528,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6513,85.76,65.513,0.527,29N,Puercan 2,Testudines,Testudines,shell fragments,Sandstone,River channel ,Phosphatic
DMNH 3882,85.72,65.513,0.527,29N,Puercan 2,Testudines,Testudines,shell fragments,,,No
DMNH 6983,85.44,65.515,0.525,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6982,85.42,65.515,0.525,29N,Puercan 2,Carsioptychus ,Mammalia,L max P4/-M2/ all crown abraded,Sandstone,River channel ,Phosphatic
DMNH 6984,84.99,65.518,0.522,29N,Puercan 2,Palatobaena,Testudines,skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6277,84.72,65.52,0.52,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8319,84.31,65.523,0.517,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6514,84.03,65.525,0.515,29N,Puercan 2,Mammalia,Mammalia,Tooth bearing elements,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3874,83.97,65.525,0.515,29N,Puercan 2,Microsite,,"shell, osteoderms, turtle skull frag. ",Sandstone,River channel ,No
DMNH 7067,83.3,65.53,0.51,29N,Puercan 2,Trionychidae,Testudines,hyp/hypoplastron,"Laminated, fine grained",Pond,Phosphatic
DMNH 8359,83.09,65.531,0.509,29N,Puercan 2,Carsioptychus?,Mammalia,dentarys,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6289,83.09,65.531,0.509,29N,Puercan 2,"Loxolophus, Crocodilian","Mammalia, Crocodilian",partial skeletons ,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6985,82.95,65.532,0.508,29N,Puercan 2,Axestemys,Testudines,anterion 1/3 of skull,Sandstone,River channel ,Phosphatic
DMNH 8320,82.67,65.534,0.506,29N,Puercan 2,Compsemys,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7319,82.57,65.535,0.505,29N,Puercan 2,Carsioptychus ,Mammalia,Partial skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8350,81.6,65.541,0.499,29N,Puercan 2,Vert. indet.,,limb?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8343,81.15,65.544,0.496,29N,Puercan 2,Mammalia?,Mammalia,cranial?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8314,79.7,65.554,0.486,29N,Puercan 2,Crocodilian,Crocodilian,skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8334,79.57,65.555,0.485,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7328,79.45,65.556,0.484,29N,Puercan 2,Mammalia?,Mammalia,dentary?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7093,79.24,65.558,0.482,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7331,79.07,65.559,0.481,29N,Puercan 2,Crocodilian,Crocodilian,skeleton,Sandstone,Palm tree in sandbar,Phosphatic
DMNH 3887,78.94,65.56,0.48,29N,Puercan 2,"Carsioptychus, Crocodilian","Mammalia, crocodylia","L dent M/1-M/2, partial crocdylian skull",Sandstone,River channel ,No
DMNH 7094,78.87,65.56,0.48,29N,Puercan 2,Plastomenid ,Testudines,skull ,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6278,78.83,65.56,0.48,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8295,78.83,65.56,0.48,29N,Puercan 2,Crocodilian?,Crocodilian,osteoderms,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3896,77.84,65.567,0.473,29N,Puercan 2,"Mammalia, Testudines","Mammalia, Testudines","scapula?, shell fragments",Sandstone,River channel ,No
DMNH 6262,77.15,65.572,0.468,29N,Puercan 2,Crocodilian,Crocodilian,skeleton,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3944,77.14,65.572,0.468,29N,Puercan 2,Mammalia,Mammalia,"L edentulous jaw fragments with partial M/2 and M/3 alveoli, and other anterior alveoli",Mudstone,Overbank/Floodplain,No
DMNH 7322,76.02,65.58,0.46,29N,Puercan 2,Ectoconus?,Mammalia,posterior two thirds of skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 2546,75.28,65.585,0.455,29N,Puercan 2,Microsite,Testudines,"shell frags, turtle limbs, gar scale",Sandstone,River channel ,No
DMNH 7068,74.45,65.59,0.45,29N,Puercan 2,Baiconodon?,Mammalia,dentary and other elements,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8299,74.22,65.592,0.448,29N,Puercan 2,Testudines,Testudines,Plastomenid?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8300,73.39,65.598,0.442,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3890,72.7,65.603,0.437,29N,Puercan 2,"Crocodilian, Testudines",Crocodilian,"osteoderms, skull and shell fragments, vertebrae",Sandstone,River channel ,No
DMNH 7075,72.24,65.606,0.434,29N,Puercan 2,Crocodilian,Crocodilian,skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6518,71.7,65.609,0.431,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3875,71.54,65.611,0.429,29N,Puercan 2,"Crocodilian, Testudines",Testudines,"dentary, shell, osteoderms","Laminated, fine grained",Pond,Phosphatic
DMNH 3853,71.52,65.611,0.429,29N,Puercan 2,Vert. indet.,,,,,No
DMNH 3888,71.2,65.613,0.427,29N,Puercan 2,"Coprolite, Compsemys, Crocodilian",Crocodilian,"shell fragments, osteoderms",Sandstone,River channel ,No
DMNH 7087,70.53,65.617,0.423,29N,Puercan 2,Vert. indet.,,"partial skeleton, Mammalia?",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6274,70.02,65.621,0.419,29N,Puercan 2,Testudines?,Testudines,shell?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6275,69.92,65.622,0.418,29N,Puercan 2,Testudines,Testudines,shell,"Laminated, fine grained",Pond,Phosphatic
DMNH 7069,69.82,65.622,0.418,29N,Puercan 2,Axestemys?,Testudines,cranial,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6276,69.75,65.623,0.417,29N,Puercan 2,Ectoconus,Mammalia,"Cranium with R & L I1/-M3/ (3.1.4.3), in situ",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6287,69.45,65.625,0.415,29N,Puercan 2,Testudines?,Testudines,shell?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8329,69.34,65.626,0.414,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7317,68.74,65.63,0.41,29N,Puercan 2,Gilmoremys,Testudines,carapace fragments,,,No
DMNH 7324,68.48,65.632,0.408,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6286,68.43,65.632,0.408,29N,Puercan 2,Trionychidae,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7065,68.42,65.632,0.408,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6993,66.73,65.644,0.396,29N,Puercan 2,Testudines,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7086,66.69,65.644,0.396,29N,Puercan 2,Vert. indet.,,"postcrania, ribs and limbs?",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7334,66.66,65.644,0.396,29N,Puercan 2,Vert. indet.,,limb?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7320,66.6,65.645,0.395,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6288,66.48,65.645,0.395,29N,Puercan 2,Testudines,Testudines,shell fragments,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3877,66.39,65.646,0.394,29N,Puercan 2,"Testudines, Crocodilian?",Testudines,"shell, limb",,,No
DMNH 7099,65.3,65.654,0.386,29N,Puercan 2,Mammalia,Mammalia,dentary,Sandstone,River channel ,No
DMNH 3659,64.5,65.659,0.381,29N,Puercan 2,Baenid ,Testudines,shell,Sandstone,River channel ,No
DMNH 7085,63.43,65.666,0.374,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6996,63.01,65.669,0.371,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7084,62.73,65.671,0.369,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6283,61.69,65.678,0.362,29N,Puercan 2,Vert. indet.,,,"Laminated, fine grained",Pond,Phosphatic
DMNH 8340,61.27,65.681,0.359,29N,Puercan 2,Testudines,Testudines,shell element,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8337,60.99,65.683,0.357,29N,Puercan 2,Testudines,Testudines,shell element,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7083,59.98,65.69,0.35,29N,Puercan 2,Procerberus?,Mammalia,weathered skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3866,59.69,65.692,0.348,29N,Puercan 2,Testudines,Testudines,shell fragments,Sandstone,River channel ,No
DMNH 4065,59.28,65.694,0.346,29N,Puercan 2,Lepisosteus,,scales,,,No
DMNH 8349,59.19,65.695,0.345,29N,Puercan 2,Testudines?,Testudines,cranial?,Sandstone,River channel ,Phosphatic
DMNH 4063,58.18,65.701,0.339,29R,Puercan 2,Testudines,Testudines,plastron piece,,,No
DMNH 8297,58.11,65.701,0.339,29R,Puercan 2,Crocodilian?,Crocodilian,limbs?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8338,56.24,65.712,0.328,29R,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3902,55.23,65.718,0.322,29R,Puercan 2,Testudines,Testudines,shell fragment,,,No
DMNH 6519,54.54,65.722,0.318,29R,Puercan 2,Testudines,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6994,54.3,65.723,0.317,29R,Puercan 2,Crocodilian,Crocodilian,"skull, highly eroded",Sandstone,River channel ,Phosphatic
DMNH 6995,53.67,65.727,0.313,29R,Puercan 2,Compsemys,Testudines,shell,Sandstone,River channel ,Phosphatic
DMNH 8345,52.73,65.732,0.308,29R,Puercan 2,"Various, partial burrow?",,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7082,51.85,65.738,0.302,29R,Puercan 2,Chelydrid?,Testudines,skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8729,51.69,65.738,0.302,29R,Puercan 2,Palatobaena,Testudines,skull,Sandstone,River channel ,Phosphatic
DMNH 8298,50.19,65.747,0.293,29R,Puercan 2,Crocodilian?,Crocodilian,limbs?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6493,49.85,65.749,0.291,29R,Puercan 2,Carsioptychus,Mammalia,"Partial dentary with 3-4 completely abraded teeth, not in situ",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8339,44.02,65.783,0.257,29R,Puercan 1,Testudines,Testudines,shell element,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8301,36.86,65.825,0.215,29R,Puercan 1,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8302,36.86,65.825,0.215,29R,Puercan 1,Vert. indet.,,limb,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8322,36.17,65.829,0.211,29R,Puercan 1,Hoplochelys,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 4064,35.4,65.834,0.207,29R,Puercan 1,"Compsemys, Crocodilian",Testudines,"shell, osteoderms",Sandstone,River channel ,No
DMNH 8326,30.66,65.861,0.179,29R,Puercan 1,Crocodilian,Testudines,articulated osteoderms ,Sandstone,River channel ,Phosphatic
DMNH 3873,30.19,65.864,0.176,29R,Puercan 1,"Gilmoremys?, Fish",Testudines,"costal, dentary",Sandstone,River channel ,No
DMNH 6258,29.66,65.867,0.173,29R,Puercan 1,Microsite,Testudines,shell,Sandstone,River channel ,No
DMNH 7098,20.47,65.921,0.119,29R,Puercan 1,Testudines,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7097,20.36,65.921,0.119,29R,Puercan 1,Microsite,Crocodilian,various,Sandstone,River channel ,Phosphatic
DMNH 8352,4.86,66.012,0.028,29R,Puercan 1,Crocodilian?,Crocodilian,skeleton,Sandstone,River channel ,Phosphatic
DMNH 8328,1.76,66.03,0.01,29R,Puercan 1,Crocodilian?,Crocodilian,skeleton,Sandstone,River channel ,Phosphatic
DMNH 8433,-5.63,66.083,-0.043,29R,Lancian,Crocodilian?,Crocodilian,osteoderm?,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 4194,-10.14,66.117,-0.077,29R,Lancian,Ceratopsian dinosaur,Dinosaur,"cranial, ribs",Sandstone,River channel ,No
DMNH 4195,-10.14,66.117,-0.077,29R,Lancian,Ceratopsian dinosaur,Dinosaur,large fragments of weathered bone ,Sandstone,River channel ,No
DMNH 6259,-10.14,66.117,-0.077,29R,Lancian,Ceratopsian dinosaur,Dinosaur,vertebra and large fragments of weathered bone,Sandstone,River channel ,No
DMNH 8336,-54.7,66.374,-0.334,29R,Lancian,"Basilemys, dinosaur","Testudines, Dinosaur","shell, rib",Sandstone,River channel ,No
